ID,Sample ID,Site,Fieldtype,Crop,Group,Values
430,XGRP1,XG,Paddy,Rice,BR_CO2,225.2639265
431,XGRP2,XG,Paddy,Rice,BR_CO2,273.1461904
432,XGRP3,XG,Paddy,Rice,BR_CO2,177.6060086
433,XYRP1,XY,Paddy,Rice,BR_CO2,234.6217931
434,XYRP2,XY,Paddy,Rice,BR_CO2,263.8107849
435,XYRP3,XY,Paddy,Rice,BR_CO2,178.820299
436,YYRP1,YY,Paddy,Rice,BR_CO2,155.3178685
437,YYRP2,YY,Paddy,Rice,BR_CO2,216.2479063
438,YYRP3,YY,Paddy,Rice,BR_CO2,154.3665968
439,HDRP1,HD,Paddy,Rice,BR_CO2,187.9864379
440,HDRP2,HD,Paddy,Rice,BR_CO2,147.1853973
441,HDRP3,HD,Paddy,Rice,BR_CO2,121.3409664
442,QHDRP1,QHD,Paddy,Rice,BR_CO2,119.0935812
443,QHDRP2,QHD,Paddy,Rice,BR_CO2,251.9135254
444,QHDRP3,QHD,Paddy,Rice,BR_CO2,94.01755427
445,PJRP1,PJ,Paddy,Rice,BR_CO2,201.8226189
446,PJRP2,PJ,Paddy,Rice,BR_CO2,148.515555
447,PJRP3,PJ,Paddy,Rice,BR_CO2,235.8267665
448,SYSRP1,SYS,Paddy,Rice,BR_CO2,96.49794346
449,SYSRP2,SYS,Paddy,Rice,BR_CO2,64.28589708
450,SYSRP3,SYS,Paddy,Rice,BR_CO2,109.8510166
451,SPRP1,SP,Paddy,Rice,BR_CO2,118.5514869
452,SPRP2,SP,Paddy,Rice,BR_CO2,99.71479283
453,SPRP3,SP,Paddy,Rice,BR_CO2,66.41066367
454,DHRP1,DH,Paddy,Rice,BR_CO2,171.5508888
455,DHRP2,DH,Paddy,Rice,BR_CO2,159.556694
456,DHRP3,DH,Paddy,Rice,BR_CO2,111.311955
457,HLRP1,HL,Paddy,Rice,BR_CO2,215.4830979
458,HLRP2,HL,Paddy,Rice,BR_CO2,289.0541383
459,HLRP3,HL,Paddy,Rice,BR_CO2,61.02231461
460,HEBRP1,HEB,Paddy,Rice,BR_CO2,41.63143806
461,HEBRP2,HEB,Paddy,Rice,BR_CO2,51.2145644
462,HEBRP3,HEB,Paddy,Rice,BR_CO2,145.7149525
463,NJRP1,NJ,Paddy,Rice,BR_CO2,146.0556438
464,NJRP2,NJ,Paddy,Rice,BR_CO2,142.970885
465,NJRP3,NJ,Paddy,Rice,BR_CO2,100.1892667
466,HMRP1,HM,Paddy,Rice,BR_CO2,257.4238667
467,HMRP2,HM,Paddy,Rice,BR_CO2,112.1815902
468,HMRP3,HM,Paddy,Rice,BR_CO2,104.90141
469,SYRU1,SY,Upland,MangoOrchard,PE,602.154
470,SYRU2,SY,Upland,Orchard,PE,686.076
471,SYRU3,SY,Upland,Maize,PE,803.424
472,HKRU1,HK,Upland,LitchiOrchard,PE,839.502
473,HKRU2,HK,Upland,LitchiOrchard,PE,763.322
474,HKRU3,HK,Upland,LitchiOrchard,PE,730.699
475,SXRU1,SX,Upland,Saccharum,PE,785.49
476,SXRU2,SX,Upland,Saccharum,PE,744.136
477,SXRU3,SX,Upland,Saccharum,PE,590.665
478,YLRU1,YL,Upland,Maize,PE,488.283
479,YLRU2,YL,Upland,Maize,PE,673.919
480,YLRU3,YL,Upland,Maize,PE,626.743
481,WZRU1,WZ,Upland,Maize,PE,445.846
482,WZRU2,WZ,Upland,Maize,PE,484.701
483,WZRU3,WZ,Upland,Peanut,PE,633.645
484,JHRU1,JH,Upland,Peanut,PE,313.667
485,JHRU2,JH,Upland,Teabush,PE,492.895
486,JHRU3,JH,Upland,Peanut,PE,564.198
487,QYRU1,QY,Upland,Maize,PE,782.997
488,QYRU2,QY,Upland,SweetPotato,PE,897.059
489,QYRU3,QY,Upland,Maize,PE,913.038
490,LDRU1,LD,Upland,Teabush,PE,1144.393
491,LDRU2,LD,Upland,Maize,PE,1117.932
492,LDRU3,LD,Upland,Vegetable,PE,1001.185
493,YiYangRU1,YiYang,Upland,Grape,PE,1032.616
494,YiYangRU2,YiYang,Upland,Grape,PE,1004.587
495,YiYangRU3,YiYang,Upland,Grape,PE,1191.38
496,HRRU1,HR,Upland,Cole,PE,626.18
497,HRRU2,HR,Upland,Cole,PE,468.453
498,HRRU3,HR,Upland,Cole,PE,451.089
499,QJRU1,QJ,Upland,Wheat,PE,727.145
500,QJRU2,QJ,Upland,Wheat,PE,775.803
501,QJRU3,QJ,Upland,Wheat,PE,687.528
502,XGRU1,XG,Upland,Cotton,PE,1020.089
503,XGRU2,XG,Upland,Wheat,PE,945.409
504,XGRU3,XG,Upland,Wheat,PE,1086.005
505,XYRU1,XY,Upland,Maize,PE,947.486
506,XYRU2,XY,Upland,Maize,PE,1078.912
507,XYRU3,XY,Upland,Maize,PE,1055.704
508,LHRU1,LH,Upland,Wheat,PE,859.877
509,LHRU2,LH,Upland,Wheat,PE,1270.509
510,LHRU3,LH,Upland,Wheat,PE,725.766
511,YYRU1,YY,Upland,Wheat,PE,512.438
512,YYRU2,YY,Upland,Wheat,PE,512.054
513,YYRU3,YY,Upland,Wheat,PE,657.266
514,HDRU1,HD,Upland,Wheat,PE,267.143
515,HDRU2,HD,Upland,Wheat,PE,605.062
516,HDRU3,HD,Upland,Wheat,PE,336.134
517,XJRU1,XJ,Upland,Wheat,PE,422.928
518,XJRU2,XJ,Upland,Wheat,PE,519.516
519,XJRU3,XJ,Upland,Wheat,PE,478.138
520,BZRU1,BZ,Upland,Wheat,PE,600.052
521,BZRU2,BZ,Upland,Wheat,PE,679.589
522,BZRU3,BZ,Upland,Wheat,PE,959.909
523,QHDRU1,QHD,Upland,Maize,PE,771.92
524,QHDRU2,QHD,Upland,Maize,PE,1009.342
525,QHDRU3,QHD,Upland,Maize,PE,989.383
526,PJRU1,PJ,Upland,Maize,PE,644.707
527,PJRU2,PJ,Upland,Maize,PE,507.641
528,PJRU3,PJ,Upland,Maize,PE,518.05
529,SYSRU1,SYS,Upland,Maize,PE,922.305
530,SYSRU2,SYS,Upland,Maize,PE,950.404
531,SYSRU3,SYS,Upland,Maize,PE,960.282
532,SPRU1,SP,Upland,Maize,PE,1152.479
533,SPRU2,SP,Upland,Maize,PE,948.618
534,SPRU3,SP,Upland,Maize,PE,951.182
535,DHRU1,DH,Upland,Maize,PE,1023.178
536,DHRU2,DH,Upland,Maize,PE,1253.699
537,DHRU3,DH,Upland,Maize,PE,883.945
538,HLRU1,HL,Upland,Maize,PE,635.919
539,HLRU2,HL,Upland,Maize,PE,883.908
540,HLRU3,HL,Upland,Maize,PE,411.596
541,HEBRU1,HEB,Upland,Maize,PE,362.593
542,HEBRU2,HEB,Upland,Maize,PE,429.574
543,HEBRU3,HEB,Upland,Maize,PE,294.47
544,NJRU1,NJ,Upland,Maize,PE,761.857
545,NJRU2,NJ,Upland,Maize,PE,389.338
546,NJRU3,NJ,Upland,Maize,PE,648.707
547,HMRU1,HM,Upland,Maize,PE,522.958
548,HMRU2,HM,Upland,Maize,PE,594.33
549,HMRU3,HM,Upland,Maize,PE,589.551
550,MHRU1,MH,Upland,Soybean,PE,617.932
551,MHRU2,MH,Upland,Soybean,PE,547.58
552,MHRU3,MH,Upland,Soybean,PE,722.886
553,SYRP1,SY,Paddy,Rice,PE,807.484
554,SYRP2,SY,Paddy,Rice,PE,676.109
555,SYRP3,SY,Paddy,Rice,PE,758.225
556,HKRP1,HK,Paddy,Rice,PE,635.058
557,HKRP2,HK,Paddy,Rice,PE,582.216
558,HKRP3,HK,Paddy,Rice,PE,1014.936
559,SXRP1,SX,Paddy,Rice,PE,596.11
560,SXRP2,SX,Paddy,Rice,PE,574.103
561,SXRP3,SX,Paddy,Rice,PE,639.546
562,YLRP1,YL,Paddy,Rice,PE,373.848
563,YLRP2,YL,Paddy,Rice,PE,516.079
564,YLRP3,YL,Paddy,Rice,PE,717.906
565,WZRP1,WZ,Paddy,Rice,PE,625.238
566,WZRP2,WZ,Paddy,Rice,PE,875.563
567,WZRP3,WZ,Paddy,Rice,PE,523.126
568,JHRP1,JH,Paddy,Rice,PE,608.549
569,JHRP2,JH,Paddy,Rice,PE,249.35
570,JHRP3,JH,Paddy,Rice,PE,710.637
571,QYRP1,QY,Paddy,Rice,PE,692.127
572,QYRP2,QY,Paddy,Rice,PE,635.462
573,QYRP3,QY,Paddy,Rice,PE,504.388
574,LDRP1,LD,Paddy,Rice,PE,329.18
575,LDRP2,LD,Paddy,Rice,PE,498.429
576,LDRP3,LD,Paddy,Rice,PE,658.159
577,YiYangRP1,YiYang,Paddy,Rice,PE,949.903
578,YiYangRP2,YiYang,Paddy,Rice,PE,991.284
579,YiYangRP3,YiYang,Paddy,Rice,PE,800.703
580,HRRP1,HR,Paddy,Rice,PE,333.172
581,HRRP2,HR,Paddy,Rice,PE,444.113
582,HRRP3,HR,Paddy,Rice,PE,629.757
583,QJRP1,QJ,Paddy,Rice,PE,597.065
584,QJRP2,QJ,Paddy,Rice,PE,442.747
585,QJRP3,QJ,Paddy,Rice,PE,721.404
586,XGRP1,XG,Paddy,Rice,PE,804.472
587,XGRP2,XG,Paddy,Rice,PE,535.172
588,XGRP3,XG,Paddy,Rice,PE,684.029
589,XYRP1,XY,Paddy,Rice,PE,670.041
590,XYRP2,XY,Paddy,Rice,PE,767.437
591,XYRP3,XY,Paddy,Rice,PE,796.459
592,YYRP1,YY,Paddy,Rice,PE,788.086
593,YYRP2,YY,Paddy,Rice,PE,431.045
594,YYRP3,YY,Paddy,Rice,PE,496.361
595,HDRP1,HD,Paddy,Rice,PE,719.399
596,HDRP2,HD,Paddy,Rice,PE,448.677
597,HDRP3,HD,Paddy,Rice,PE,571.003
598,QHDRP1,QHD,Paddy,Rice,PE,595.786
599,QHDRP2,QHD,Paddy,Rice,PE,561.664
600,QHDRP3,QHD,Paddy,Rice,PE,764.916
601,PJRP1,PJ,Paddy,Rice,PE,583.37
602,PJRP2,PJ,Paddy,Rice,PE,609.848
604,SYSRP1,SYS,Paddy,Rice,PE,517.395
605,SYSRP2,SYS,Paddy,Rice,PE,305.511
606,SYSRP3,SYS,Paddy,Rice,PE,393.598
607,SPRP1,SP,Paddy,Rice,PE,589.146
608,SPRP2,SP,Paddy,Rice,PE,658.366
609,SPRP3,SP,Paddy,Rice,PE,279.338
610,DHRP1,DH,Paddy,Rice,PE,460.482
611,DHRP2,DH,Paddy,Rice,PE,570.073
612,DHRP3,DH,Paddy,Rice,PE,274.352
613,HLRP1,HL,Paddy,Rice,PE,471.882
614,HLRP2,HL,Paddy,Rice,PE,545.259
615,HLRP3,HL,Paddy,Rice,PE,693.162
616,HEBRP1,HEB,Paddy,Rice,PE,434.697
617,HEBRP2,HEB,Paddy,Rice,PE,362.577
618,HEBRP3,HEB,Paddy,Rice,PE,351.047
619,NJRP1,NJ,Paddy,Rice,PE,306.519
620,NJRP2,NJ,Paddy,Rice,PE,590.669
621,NJRP3,NJ,Paddy,Rice,PE,713.635
622,HMRP1,HM,Paddy,Rice,PE,475.267
623,HMRP2,HM,Paddy,Rice,PE,645.646
624,HMRP3,HM,Paddy,Rice,PE,547.45
